conversation_id,text,author_id,created_at,in_reply_to_user_id,id,edit_history_tweet_ids,author_name
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/aonJUt8iXJ”",295530843,2014-03-24T16:09:24.000Z,19106719,448129461150425088,['448129461150425088'],kemanggisan_
448110947937165312,@MAS,96195070,2014-03-24T16:05:11.000Z,19106719,448128403439648768,['448128403439648768'],anichemartin
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/qanJ4wT02Y”",60064730,2014-03-24T16:04:04.000Z,19106719,448128120164347905,['448128120164347905'],keithlens
448110947937165312,"@MAS 
malaysia-pm-tells-families-of-missing-jet-passenger-plane-is-lost-3-24-14
http://t.co/iOlINqokLq",2372198839,2014-03-24T16:02:10.000Z,19106719,448127640852246528,['448127640852246528'],obama74115205
448110947937165312,@MAS u done a good job..be strong!,365964426,2014-03-24T16:02:04.000Z,19106719,448127617128865794,['448127617128865794'],Niza_Harniza
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/ilqmgPbmPD”",162919006,2014-03-24T16:00:32.000Z,19106719,448127230539866112,['448127230539866112'],dwdd_1134kHz
448110947937165312,@MAS,2399090041,2014-03-24T16:00:15.000Z,19106719,448127160306245632,['448127160306245632'],int06656811
448110947937165312,"Rip :( “@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/onFEamuQAQ”",2390203566,2014-03-24T15:59:55.000Z,19106719,448127078370529280,['448127078370529280'],BernicePaulJR
448110947937165312,"""@MAS We humbly offer our sincere thoughts, prayers and condolences to everyone affected by #MH370 tragedy - http://t.co/wHdMsmG1CR",22305722,2014-03-24T15:57:15.000Z,19106719,448126406606594048,['448126406606594048'],Niall_Ward
448110947937165312,"@MAS Does your company have an ounce of intelligence, seriously. http://t.co/RWYvreTcFM",1469328974,2014-03-24T15:49:31.000Z,19106719,448124459472683008,['448124459472683008'],Fewnblyg
448110947937165312,@MAS but the evidence that the plane crasheddd?..i hpee u can answer me....,138984877,2014-03-24T15:45:22.000Z,19106719,448123415593885697,['448123415593885697'],farahkhan95
448110947937165312,@MAS RIP to all ppl in MH370,2409179082,2014-03-24T15:42:14.000Z,19106719,448122626158776321,['448122626158776321'],Jukung888
448110947937165312,@MAS Me too but I still smell a rat. What was it doing that far off course? What do we actually KNOW about the debris?,21527733,2014-03-24T15:38:52.000Z,19106719,448121781149122561,['448121781149122561'],thewr0ngchild
448110947937165312,@MAS We need a reasonable exlains,1103224687,2014-03-24T15:36:47.000Z,19106719,448121254361706496,['448121254361706496'],UNDFTDLava
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/ZQDxbIZieH”",805962906,2014-03-24T15:36:24.000Z,19106719,448121160077557760,['448121160077557760'],nikkidelc
448110947937165312,@MAS there is still no physical proof. You've called it too early mas.,535126567,2014-03-24T15:35:14.000Z,19106719,448120865071173632,['448120865071173632'],JoadieH
448110947937165312,@MAS deepest condolences to affected families n crews of #MH370 .,221752595,2014-03-24T15:27:46.000Z,19106719,448118987713282049,['448118987713282049'],vinaysalini
448110947937165312,@MAS please have MH370 memorial corner,240265143,2014-03-24T15:25:35.000Z,19106719,448118436967632896,['448118436967632896'],normaejmle
448110947937165312,@MAS takziah buat keluarga semua krew dan penumpang #MH370 . Alfatihah. Berita yg sungguh sedih buat kami 😥,1456275666,2014-03-24T15:25:15.000Z,19106719,448118352330776577,['448118352330776577'],jue_exora
448110947937165312,@MAS 呵呵 去你大爷的,1614607454,2014-03-24T15:19:06.000Z,19106719,448116805513383936,['448116805513383936'],HitoHu
448110947937165312,"RT @MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/sYcZmvKFmh”",39694657,2014-03-24T15:18:02.000Z,19106719,448116536914370560,['448116536914370560'],emilya1128
448110947937165312,@MAS i dont know what to say..so sad..takziah,1044862952,2014-03-24T15:16:53.000Z,19106719,448116245334736896,['448116245334736896'],terry80lee
448110947937165312,@MAS may their soul rest in peace bt the blame is not to put on cpt #zaharie....possibly a hijack http://t.co/up3lo91Wnn,1026624079,2014-03-24T15:14:59.000Z,19106719,448115768073658368,['448115768073658368'],Chisopapodolski
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/9h5SEtXFjK”",1494570259,2014-03-24T15:14:29.000Z,19106719,448115641736642560,['448115641736642560'],soraya_aydin
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/4lAI5DQi0S” 💔",256182482,2014-03-24T15:14:27.000Z,19106719,448115634216632320,['448115634216632320'],MinionGooner
448110947937165312,@MAS this is so unfortunate.  My heart goes out for all those on board and their loved ones,443543618,2014-03-24T15:12:32.000Z,19106719,448115151376769026,['448115151376769026'],_ManuMalhotra
448110947937165312,@MAS can Umake stat on #MH370 #Maldives sight 6:15am SE towd #diegogarcia 1:10 flt time arri 7:25am cell con 7:40am 8:11 last ping on tarmac,50530789,2014-03-24T15:11:29.000Z,19106719,448114887429214208,['448114887429214208'],NedaAgain
448110947937165312,@MAS http://t.co/x0fBuARxzL,190994678,2014-03-24T15:10:34.000Z,19106719,448114659124457473,['448114659124457473'],2sayornot2say
448110947937165312,"@MAS its a bad time for mas, must prepared in all circumstances, we malaysian must support our leaders for thier great effort",2320208791,2014-03-24T15:09:55.000Z,19106719,448114492249886720,['448114492249886720'],many3773
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/O7B5yXWI7H”",252485401,2014-03-24T15:09:41.000Z,19106719,448114434632732673,['448114434632732673'],MichaelOng86
448110947937165312,@MAS  RIP MH370,361642910,2014-03-24T15:08:52.000Z,19106719,448114227643822080,['448114227643822080'],kangcs9339
448110947937165312,@MAS RIP (return if possible) MH370...,2398115844,2014-03-24T15:08:40.000Z,19106719,448114178675314688,['448114178675314688'],NoraLantukan
448110947937165312,@MAS @VeroPuntoCom can i have a free ticket for them?,590142631,2014-03-24T15:08:37.000Z,19106719,448114168382898177,['448114168382898177'],ElBiskuit
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/QwSPEkbwe7”",73670513,2014-03-24T15:07:11.000Z,19106719,448113804392415232,['448113804392415232'],PabloReinah
448110947937165312,"“@MAS: We humbly offer our sincere thoughts, prayers
and condolences to everyone affected by #MH370 tragedy - http://t.co/Mx6Dz99uqw”",80521629,2014-03-24T15:04:23.000Z,19106719,448113101989105664,['448113101989105664'],VinoGBastian__
